Metric,Value
Scenario,Market Scenario 1
Strategy,Perfect-information best case; one trade per AM/PM session
Initial Capital (USD),10000
Leverage,4x on every trade
Price Conversion,Market scenario raw price / 1400
Liquidity Assumption,Unlimited execution at displayed price
Margin Call Rule,Margin Ratio <= 20% triggers immediate forced liquidation
Margin Safety,Every selected trade remains above 20% while held
T+0.5 Rule,Sale proceeds available in the next half-session
Execution Cutoff,No sell at Phase Second 300; latest executable sell = 299 (00:01)
Trades through Phase 5,10
End Wealth after Phase 5 (USD),2109125.03
Wealth Multiple after Phase 5,210.9125
Return after Phase 5 (%),20991.25
Trades including Phase 6,12
Final Wealth after Phase 6 (USD),4305665.67
Final Wealth Multiple,430.5666
Final Return (%),42956.66
Maximum Trade Profit (USD),1691957.78
Minimum Margin Ratio across selected trades (%),25
Margin Calls,0
Forced Liquidations,0
Property Target Small House (3x),Achieved
Property Target Normal House (20x),Achieved
Property Target ToLam Villa (100x),Achieved
